Stock Code,Stock Name,Current Value,Change,Percentage Change,Market Cap,Industry,Day High,Day Low,Month High/Low
533022,20 Microns Ltd.,120.60,5.70,4.96,120.60,115.20,,,T  /
532628,3i Infotech Ltd.,33.30,0.48,1.46,33.60,32.71,,,B  / S&P BSE SmallCap
523395,3m India Ltd.,32421.50,1267.75,4.07,32421.50,31167.90,,,A  / S&P BSE 200
512161,8k Miles Software Services Ltd.,41.60,0.64,1.56,42.60,40.90,,,B  /
538351,A.f. Enterprises Ltd,5.88,0.18,3.16,5.95,5.42,,,XT /
539300,A.k. Spintex Ltd,127.85,1.05,0.83,132.05,125.00,,,X  /
530499,A.k.capital Services Ltd.,738.00,115.70,18.59,746.75,635.00,,,X  /
533292,A2z Infra Engineering Limited,10.35,-0.54,-4.96,10.85,10.35,,,T  /
530027,Aadi Industries Ltd.,3.40,0.01,0.29,3.40,3.21,,,X  /
539096,Aananda Lakshmi Spinning Mills Ltd,11.70,-0.40,-3.31,12.70,11.61,,,XT /
538812,Aanchal Ispat Ltd,10.95,-0.05,-0.45,11.50,10.85,,,X  /
524412,Aarey Drugs & Pharmaceuticals Ltd.,50.20,2.39,5.00,50.20,46.15,,,T  /
524348,Aarti Drugs Ltd.,592.40,22.05,3.87,593.65,571.05,,,A  / S&P BSE 500
524208,Aarti Industries Ltd.,500.60,9.60,1.96,504.15,491.00,,,A  / S&P BSE 500
514274,Aarvee Denims & Exports Ltd.,23.03,-0.22,-0.95,23.35,22.75,,,B  /
519319,Aashee Infotech Ltd.,1.43,0.06,4.38,1.43,1.31,,,Z  /
533022,20 Microns Ltd.,120.60,5.70,4.96,120.60,115.20,,,T  /
512038,Aaswa Trading & Exports Ltd.,51.80,1.01,1.99,51.80,51.80,,,XT /
532628,3i Infotech Ltd.,33.30,0.48,1.46,33.60,32.71,,,B  / S&P BSE SmallCap
523204,Aban Offshore Ltd.,48.40,0.36,0.75,49.50,47.40,,,B  /
523395,3m India Ltd.,32421.50,1267.75,4.07,32421.50,31167.90,,,A  / S&P BSE 200
512165,Abans Enterprises Ltd,175.55,-3.80,-2.12,185.00,172.05,,,X  /
500002,Abb India Limited,4324.00,32.90,0.77,4328.75,4246.00,,,A  / S&P BSE 200
512161,8k Miles Software Services Ltd.,41.60,0.64,1.56,42.60,40.90,,,B  /
500488,Abbott India Ltd.,22383.30,-330.65,-1.46,22900.00,22338.65,,,A  / S&P BSE 200
538351,A.f. Enterprises Ltd,5.88,0.18,3.16,5.95,5.42,,,XT /
539300,A.k. Spintex Ltd,127.85,1.05,0.83,132.05,125.00,,,X  /
530499,A.k.capital Services Ltd.,738.00,115.70,18.59,746.75,635.00,,,X  /
513119,Abc Gas (international) Ltd.,40.00,0.90,2.30,40.49,38.62,,,XT /
533292,A2z Infra Engineering Limited,10.35,-0.54,-4.96,10.85,10.35,,,T  /
520123,Abc India Ltd.-$,98.00,2.00,2.08,99.30,93.01,,,XT /
530027,Aadi Industries Ltd.,3.40,0.01,0.29,3.40,3.21,,,X  /
532057,Abhinav Capital Services Ltd.,136.00,-2.25,-1.63,144.00,131.50,,,XT /
538952,Abhinav Leasing & Finance Ltd,2.03,0.07,3.57,2.05,1.87,,,XT /
539096,Aananda Lakshmi Spinning Mills Ltd,11.70,-0.40,-3.31,12.70,11.61,,,XT /
538812,Aanchal Ispat Ltd,10.95,-0.05,-0.45,11.50,10.85,,,X  /
538935,Abhishek Finlease Ltd,31.19,-0.64,-2.01,31.19,31.19,,,XT /
524412,Aarey Drugs & Pharmaceuticals Ltd.,50.20,2.39,5.00,50.20,46.15,,,T  /
511756,Abirami Financial Services (india) Ltd.,21.61,1.02,4.95,21.61,21.61,,,Z  /
524348,Aarti Drugs Ltd.,592.40,22.05,3.87,593.65,571.05,,,A  / S&P BSE 500
